"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","ASML","ASML","548456562688","1413.01","Netherlands"
"2","LVMH","MC.PA","314690078586","633.956","France"
"3","Hermès","RMS.PA","254715804168","2429.65","France"
"4","L'Oréal","OR.PA","248684330239","465.89","France"
"5","Novo Nordisk","NVO","244509949952","47.64","Denmark"
"6","Prosus","PRX.AS","237639500153","54.3864","Netherlands"
"7","SAP","SAP","237255966720","203.34","Germany"
"8","Siemens","SIE.DE","231964978974","296.169","Germany"
"9","Inditex","ITX.MC","210533455165","67.5573","Spain"
"10","Santander","SAN","188250652672","12.71","Spain"
"11","Airbus","AIR.PA","178539035777","226.176","Netherlands"
"12","Deutsche Telekom","DTE.DE","178118820455","35.7768","Germany"
"13","Allianz SE","ALV.DE","176502115952","457.791","Germany"
"14","Schneider Electric","SU.PA","168108502310","299.007","France"
"15","TotalEnergies","TTE","158181326848","73.83","France"
"16","Iberdrola","IBE.MC","154724141627","22.8955","Spain"
"17","Siemens Energy","ENR.F","154271412065","180.362","Germany"
"18","Safran","SAF.PA","151672597350","364.152","France"
"19","Accenture","ACN","149217820672","240.62","Ireland"
"20","Anheuser-Busch Inbev","BUD","147326025728","75.81","Belgium"
"21","Eaton","ETN","145528127488","373.82","Ireland"
"22","EssilorLuxottica","EL.PA","139701884557","301.608","France"
"23","Banco Bilbao Vizcaya Argentaria","BBVA","137941942272","24.09","Spain"
"24","Medtronic","MDT","131981197312","102.9","Ireland"
"25","UniCredit","UCG.MI","130990838172","87.4202","Italy"
"26","Investor AB","INVE-B.ST","123038580271","40.1653","Sweden"
"27","BNP Paribas","BNP.PA","123033818041","110.168","France"
"28","Intesa Sanpaolo","ISP.MI","122637080383","7.05368","Italy"
"29","Sanofi","SNY","116173840384","47.83","France"
"30","Air Liquide","AI.PA","114618208617","198.321","France"
"31","Enel","ENEL.MI","112415947536","11.206","Italy"
"32","Dior","CDI.PA","107717363755","597.068","France"
"33","Trane Technologies","TT","100838031360","454.76","Ireland"
"34","AXA","CS.PA","98030338083","46.8905","France"
"35","Seagate Technology","STX","93623132160","429.32","Ireland"
"36","CaixaBank","CABK.MC","89977199000","12.8517","Spain"
"37","Vinci","DG.PA","88051749653","158.666","France"
"38","Atlas Copco","ATCO-B.ST","88050317062","18.078","Sweden"
"39","ING","ING","87995719680","30.06","Netherlands"
"40","Spotify","SPOT","87012868096","422.61","Sweden"
"41","Rheinmetall","RHM.F","86818949514","1892.29","Germany"
"42","Cement Roadstone Holding","CRH","84958658560","127.13","Ireland"
"43","Johnson Controls","JCI","84250902528","137.65","Ireland"
"44","Munich RE (Münchener Rück)","MUV2.DE","82653359076","628.99","Germany"
"45","Volvo Group","VOLV-A.ST","78064855057","38.3903","Sweden"
"46","ENGIE","ENGI.PA","73895488117","30.3854","France"
"47","Deutsche Bank","DB","71111753728","37.22","Germany"
"48","DSV","DSV.VI","70452349186","297.588","Denmark"
"49","DHL Group (Deutsche Post)","DHL.DE","67764079147","58.7609","Germany"
"50","Nordea Bank","NDA-FI.HE","67645087875","19.7742","Finland"
"51","Infineon","IFX.DE","64714409016","49.6985","Germany"
"52","Société Générale","GLE.PA","64606425320","85.8122","France"
"53","Crédit Agricole","ACA.PA","63905712929","21.122","France"
"54","BMW","BMW.DE","63738545955","104.564","Germany"
"55","Generali","G.MI","63358118687","42.1494","Italy"
"56","ENI","E","62918029312","42.32","Italy"
"57","Merck KGaA","MRK.DE","62430566925","143.592","Germany"
"58","Mercedes-Benz","MBG.DE","61493194061","69.4963","Germany"
"59","Volkswagen","VOW3.DE","60645944822","119.118","Germany"
"60","Thales","HO.PA","60032232480","292.149","France"
"61","Ferrari","RACE","59626602496","333.79","Italy"
"62","UCB","UCB.VI","59281150620","312.012","Belgium"
"63","KBC","KBCSF","59065974784","135.35","Belgium"
"64","NXP Semiconductors","NXPI","56554348544","224.32","Netherlands"
"65","Siemens Healthineers","SHL.DE","54897621790","48.9477","Germany"
"66","E.ON","EOAN.DE","54652815807","20.9151","Germany"
"67","Bayer","BAYN.DE","53198183704","54.1499","Germany"
"68","Danone","BN.PA","52657771264","81.7687","France"
"69","Orange","ORA.PA","51895817425","19.52","France"
"70","Compagnie de Saint-Gobain","SGO.PA","51785247699","104.445","France"
"71","Sandvik","SAND.ST","51725243814","41.2355","Sweden"
"72","BASF","BAS.DE","50841472716","56.9638","Germany"
"73","Ferrovial","FER.MC","50670886758","70.9151","Spain"
"74","Argenx","ARGX","50215292928","811.45","Netherlands"
"75","Erste Group Bank","EBO.F","49129956805","126.507","Austria"
"76","Aena","AENA.MC","49054148357","32.7028","Spain"
"77","Assa Abloy","ASSA-B.ST","48612245817","43.7642","Sweden"
"78","Heineken","HEIA.AS","48309851193","87.1128","Netherlands"
"79","ArcelorMittal","MT","46978637824","61.3","Luxembourg"
"80","Deutsche Börse","DB1.DE","46479237469","253.606","Germany"
"81","RWE","RWE.DE","46157417193","62.4261","Germany"
"82","Commerzbank","CBK.F","45610389553","40.3169","Germany"
"83","HeidelbergCement","HEI.DE","44813931102","254.67","Germany"
"84","Swedbank","SWED-A.ST","44216144373","39.3944","Sweden"
"85","Danske Bank","DANS.VI","43865119657","53.9016","Denmark"
"86","Legrand","LR.PA","43572932183","166.529","France"
"87","Skandinaviska Enskilda Banken","SEB-A.ST","42923417495","21.8821","Sweden"
"88","Porsche","P911.DE","42738806803","46.9142","Germany"
"89","Universal Music Group","UMG.AS","42724898418","23.2975","Netherlands"
"90","Adyen","ADYEN.AS","42312416971","1341.69","Netherlands"
"91","Henkel","HEN3.DE","39556258806","94.3249","Germany"
"92","ASM International","ASM.AS","39535858711","808.465","Netherlands"
"93","Nokia","NOK","39468515328","7.07","Finland"
"94","Daimler Truck","DTG.F","39433758960","51.4424","Germany"
"95","SAAB AB","SAAB-B.ST","39173372398","72.8442","Sweden"
"96","Ingersoll Rand","IR","39149072384","98.5","Ireland"
"97","Endesa","ELE.MC","38955442714","37.5266","Spain"
"98","Ericsson","ERIC","38017130496","11.16","Sweden"
"99","Kering","KER.PA","37410827426","305.096","France"
"100","EQT","EQT.ST","37057631442","31.642","Sweden"
"101","Ahold Delhaize","AD.AS","36836070185","41.3336","Netherlands"
"102","KONE","KNEBV.HE","36760738749","70.986","Finland"
"103","Leonardo","LDO.MI","36294042688","62.899","Italy"
"104","Epiroc","EPI-A.ST","36084243997","29.8453","Sweden"
"105","PKN Orlen","PKN.WA","36034173228","31.0387","Poland"
"106","Ryanair","RYAAY","35971674112","68.61","Ireland"
"107","Hannover Rück","HNR1.DE","35417744197","293.686","Germany"
"108","Poste Italiane","PST.MI","35374745398","27.3351","Italy"
"109","Maersk","MAERSK-B.CO","35295628725","2420.05","Denmark"
"110","Prysmian Group","PRY.MI","34906766008","121.719","Italy"
"111","Dassault Systèmes","DSY.PA","34631009993","26.3065","France"
"112","Talanx","TLX.DE","33858590966","131.118","Germany"
"113","H&amp;M","HM-B.ST","33303152589","20.834","Sweden"
"114","Fresenius","FRE.DE","33136304112","58.8319","Germany"
"115","PKO Bank Polski","PKO.WA","32641357758","26.1131","Poland"
"116","Hochtief","HOT.F","32434489995","431.071","Germany"
"117","OTP Bank","OTP.BD","32336190827","126.705","Hungary"
"119","Experian","EXPGF","32049850368","35.11","Ireland"
"120","Banca Monte dei Paschi di Siena","BMPS.MI","31972004708","10.5226","Italy"
"121","ČEZ Group","CEZ.PR","31967184492","59.5502","Czech Republic"
"122","Svenska Handelsbanken","SHB-A.ST","31194258515","15.7544","Sweden"
"123","ABN AMRO","ABN.AS","30356644069","36.8763","Netherlands"
"124","Ørsted","ORSTED.CO","30151191905","22.8235","Denmark"
"125","Naturgy","NTGY.MC","30070783652","31.3076","Spain"
"126","Grupo ACS","ACS.MC","29757549576","114.566","Spain"
"127","BPER Banca","BPE.MI","29309168805","14.9385","Italy"
"128","Sampo","SAMPO.HE","29307246233","11.0357","Finland"
"129","Dassault Aviation","AM.PA","29060551576","374.793","France"
"130","Hexagon AB","HEXA-B.ST","28551193191","10.6361","Sweden"
"131","Novonesis","NZYM.VI","28384968228","60.7236","Denmark"
"132","Philips","PHG","28015841280","29.46","Netherlands"
"133","Michelin","ML.PA","27813550066","38.9927","France"
"134","Veolia","VIE.PA","27691708833","37.8577","France"
"135","Beiersdorf","BEI.DE","27261820113","122.133","Germany"
"136","EnBW Energie","EBK.DE","26848878606","82.7619","Germany"
"137","International Consolidated Airlines","BABWF","26755221504","5.75","Spain"
"138","BioNTech","BNTX","26754236416","106.62","Germany"
"139","Flutter Entertainment","FLUT","26733379584","152.53","Ireland"
